product_id,product_name,category,description,unit_price,cost,billing_type,is_active,created_date
PROD-0035,Profound bandwidth-monitored archive Solution,Training,"Write ever television minute space per probably. Total music coach if behind seem.
Executive deal impact get management hotel.",44716.07,25859.19,Hourly,True,2022-05-17
PROD-0036,Robust responsive encoding Package,Training,Stock laugh building daughter. Voice but establish easy product decade tough.,19073.53,20273.74,One-time,True,2022-04-15
PROD-0037,Grass-roots content-based definition Solution,Support,Certain late that its present. Art teach these agent choice should. Require above suggest should.,3698.53,1656.47,Hourly,True,2022-12-23
PROD-0038,Universal 4thgeneration data-warehouse Package,Consulting,Fire agree born officer note charge. Again response maybe choice. Thank process improve. Determine only performance there.,14623.06,18878.78,Hourly,True,2021-06-02
PROD-0039,Streamlined composite knowledge user Solution,Licensing,Success among whom. Address pull support various.,13092.32,12068.39,Yearly,True,2021-06-16
PROD-0040,Managed 24hour workforce Package,Support,"National almost region open but. Environmental whom probably interview claim reduce.
Turn attack tree.",38464.68,1023.52,One-time,True,2024-04-18
PROD-0041,Synergized interactive infrastructure Service,Licensing,Skin court game wear information the. Degree consumer all method. Color one none family east second toward. Race beautiful occur run.,14530.54,24990.68,One-time,True,2023-12-18
PROD-0042,Cross-group motivating system engine Service,Software Development,Nature tend simple future continue recognize officer commercial. Real share stand reach animal while generation.,37546.98,27292.99,Hourly,True,2023-06-07
PROD-0043,User-friendly background contingency Package,Software Development,Life trade management quickly about artist. Your seek magazine author federal to without.,16480.64,25026.05,Yearly,True,2023-04-12
PROD-0044,Multi-tiered holistic middleware Solution,Consulting,Contain message establish involve sign bit write. Positive within take change. Four house often scientist ever others herself.,5633.64,8549.44,Hourly,False,2020-10-05
PROD-0045,Open-architected disintermediate policy Solution,Training,Mrs second throw standard laugh well. Stage theory look shake produce hair activity boy.,38091.67,6841.04,Monthly,True,2024-03-20
PROD-0046,Automated web-enabled frame Solution,Support,"Receive bank create PM carry partner. Weight and of address event star Republican.
Audience late face government hand.",32814.09,26027.98,One-time,True,2023-05-05
PROD-0047,Future-proofed 24hour pricing structure Solution,Licensing,Front likely life despite. Fund begin actually admit according choice their.,14882.64,10016.07,One-time,True,2024-02-14
PROD-0048,Object-based user-facing adapter Package,Consulting,"But strategy may court. Hot star enough partner support. Old military set tell quality local.
Its newspaper image high happen.",28145.41,6683.77,Monthly,True,2023-02-27
PROD-0049,Right-sized needs-based Graphic Interface Package,Consulting,Woman military environment animal become with rule. Forward join hundred in others assume. Your shoulder student against ground test west.,6124.23,24480.17,One-time,True,2024-05-21
PROD-0050,Secured encompassing hardware Package,Consulting,"Remain cell page drop next. Small forward treatment officer.
Store listen economic bit possible serious anyone. Officer about would laugh public bad.",38713.59,28321.11,Yearly,False,2023-08-21
PROD-0051,Face-to-face 5thgeneration circuit Service,Consulting,"Article senior after management.
From public after hit. Church executive attorney boy. Must state around today.",28819.35,342.58,Hourly,False,2023-06-18
PROD-0052,Sharable 6thgeneration groupware Service,Licensing,Member stay wear blue thing. Moment almost around which economy walk science. Us save security.,48857.23,4786.23,Yearly,True,2021-11-16
PROD-0053,Multi-lateral next generation artificial intelligence Package,Training,"Address room admit business common radio last.
Can loss by energy election. Mouth outside food start travel whom less.",9193.85,27029.43,Monthly,True,2021-04-19
PROD-0054,Sharable bifurcated throughput Solution,Software Development,Perform must well eye item. Energy wear little quickly wait support. Seek blue only agreement into may.,10463.57,13611.72,Hourly,True,2020-11-23
PROD-0055,Centralized asynchronous task-force Package,Consulting,Per wait former upon social budget. Step card throughout direction become movie. Least thus point true.,6121.08,13207.07,Hourly,False,2024-08-03
PROD-0056,Enterprise-wide high-level open architecture Service,Licensing,"Statement low successful cut. Bad look response general seven.
Great away yes owner. Service best two expert son hard quality give.",30871.9,16694.04,Yearly,True,2022-07-14
PROD-0057,Triple-buffered asynchronous synergy Service,Consulting,"Dog scene follow answer our book prove. Ball others drive president night.
Law so hand positive speak. Phone recognize test risk nature happy.",1588.2,17215.79,Hourly,True,2024-06-12
PROD-0058,Sharable responsive adapter Solution,Training,Laugh check majority statement free break after fund. Issue her away away use environmental future.,15702.91,4898.64,Hourly,True,2020-09-24
PROD-0059,Decentralized intermediate challenge Service,Training,Ago painting new firm admit. View responsibility alone nothing wonder north newspaper all. Baby admit middle huge history interesting difference.,25915.41,12361.56,Monthly,True,2023-02-17
PROD-0060,Face-to-face radical parallelism Solution,Software Development,Suddenly management beautiful protect upon. Beautiful thing nearly treat high yourself success.,31912.1,24208.22,Monthly,True,2024-04-22
PROD-0061,Persistent next generation pricing structure Package,Licensing,Herself smile course require edge. Treatment official strong reveal physical.,16336.24,5375.09,Hourly,False,2021-02-23
PROD-0062,Progressive neutral analyzer Solution,Licensing,"Put here talk prepare maybe suggest writer. Want hear window could.
Same serve morning speak really. Its blue even.",24055.6,24492.82,Hourly,False,2024-01-18
PROD-0063,Integrated empowering product Service,Training,Future matter hand visit system play. Table run teach first dog article charge arm.,30255.54,21539.65,Hourly,False,2023-11-30
PROD-0064,Down-sized bottom-line core Service,Licensing,"Usually type within property sit discussion series.
Challenge street tell note and action police. Manage admit feeling window but suggest.",27536.24,7653.33,Hourly,True,2024-06-14
PROD-0065,Public-key disintermediate emulation Package,Licensing,"Big along detail mean. Of listen development simply them attention.
Traditional management military fish. Place put defense shake none wind whose.",48387.32,10388.58,Monthly,True,2023-03-11
PROD-0066,Pre-emptive asynchronous utilization Service,Software Development,Model story maybe place authority how. Success fast style measure four among he.,31134.07,9969.99,Yearly,False,2023-03-22
PROD-0067,Multi-channeled executive implementation Package,Support,Yes past drop team young when. Show none face front compare. Pressure party little answer.,19482.79,383.48,Hourly,True,2023-11-19
PROD-0068,Public-key object-oriented throughput Solution,Consulting,Once people full also mind teacher. Look order rather eight cup it. Article rise institution heart listen evidence live. Hot build also approach.,21179.43,28281.45,Yearly,True,2024-10-26
PROD-0069,Pre-emptive even-keeled alliance Package,Training,"Job son up. Continue candidate gun claim speak ability my.
Reality mind blood analysis Congress reduce everyone. Fish bed form suddenly instead.",31610.67,17644.24,Yearly,False,2022-04-17
PROD-0070,Re-contextualized fault-tolerant moderator Solution,Licensing,Its door move wind job. Congress service structure power. Who wonder plan fear. Chance population herself what fight course.,3931.27,19396.77,One-time,False,2020-12-10
PROD-0071,Decentralized full-range open system Service,Consulting,Item gun create range. Begin already police also stock free.,5893.6,21024.52,Yearly,True,2022-04-30
PROD-0072,Visionary eco-centric hierarchy Package,Consulting,Mention training force three. Add above character. Training million opportunity particularly generation nor tell.,17552.82,26483.32,One-time,True,2024-06-25
PROD-0073,Cross-platform composite concept Package,Software Development,High month anyone seem. Support theory not stand Mrs. Billion mind election interesting audience Congress morning half. Down skin call base draw.,9134.44,27285.98,Monthly,True,2020-07-12
PROD-0074,Inverse actuating synergy Service,Training,"Bill skill rock piece. Marriage leave view answer.
Could significant increase here religious star.",27537.95,1558.85,Monthly,True,2021-01-14
PROD-0075,Cross-platform 24/7 time-frame Package,Training,Take parent standard large record agent. Opportunity including feeling yes door give hair tend. Wear step our thing.,43967.68,8589.1,One-time,True,2020-05-13
PROD-0076,Reduced 24hour methodology Package,Support,Could left before defense source. Nation reason hand music between decision various range. Method author usually political.,43850.67,19899.44,Yearly,True,2020-03-01
PROD-0077,Mandatory modular challenge Package,Software Development,Road decision modern always kind. Present remain onto scene.,35574.72,2162.28,Yearly,True,2020-07-21
PROD-0078,Re-contextualized impactful analyzer Solution,Training,Give amount sea world. Thank six adult near today size southern. Yes edge school prevent alone vote.,20952.02,13685.01,One-time,True,2024-06-02
PROD-0079,Open-architected fault-tolerant framework Solution,Support,Feeling although everything message part ask total. Analysis especially wrong tree. Prepare listen arrive performance rule.,40253.1,4490.8,Yearly,True,2023-07-24
PROD-0080,Digitized dynamic website Package,Licensing,Officer can appear answer relationship gun. Four quite name note upon need every test. Future more newspaper contain.,23412.82,23079.12,One-time,True,2021-11-27
PROD-0081,Enterprise-wide actuating open system Package,Support,About pay yeah so agreement majority heavy available. Always least order answer yet.,17301.99,2148.38,Hourly,True,2023-12-09
PROD-0082,Automated zero tolerance access Package,Support,Interview sing newspaper health. Because political energy discover growth international owner.,32296.02,24706.04,Yearly,True,2024-07-26
PROD-0083,Switchable multi-state complexity Service,Software Development,"Most once grow probably. Wide century market film defense too.
By character marriage.",33776.34,27558.15,Yearly,True,2022-02-21
PROD-0084,Intuitive user-facing support Solution,Consulting,Appear act nation recognize. Hotel call buy gun class that try. Yourself anyone music low property. Trouble adult check drop.,9011.85,10894.91,One-time,True,2022-07-14
PROD-0085,Re-engineered actuating Internet solution Solution,Software Development,"Different treat red. Fall allow safe issue.
Three research story run. These financial clearly bed poor.",13228.98,4243.76,Hourly,True,2024-10-14
PROD-0086,Inverse asymmetric customer loyalty Package,Licensing,Draw option water wonder imagine dark serious Democrat. Look without way debate every learn. Success treatment white position up.,20828.6,16839.24,Yearly,True,2023-11-16
PROD-0087,Mandatory stable workforce Package,Training,"Month save season hear never. However special treat prove.
Mission within institution turn range. Thus newspaper look my.",18901.24,5559.95,Hourly,False,2022-04-04
PROD-0088,Programmable stable portal Solution,Consulting,Without leader watch no from animal. Toward media your remain poor. Population seem animal sure six even sort.,12581.11,19510.29,Yearly,True,2022-03-17
PROD-0089,Profound bi-directional extranet Service,Training,Back why officer hear enter. Baby other body offer cut our. Tv so practice time seven build. Subject around shoulder something black.,7205.77,4254.35,Monthly,True,2021-12-25
PROD-0090,Enhanced high-level encryption Package,Software Development,Major beat dream personal place. Police talk young mind have.,23687.75,9230.65,Monthly,False,2021-10-16
PROD-0091,Customer-focused regional alliance Service,Software Development,Bill break former artist around once sit effect. Other size enjoy your this.,1506.99,6966.91,Yearly,True,2020-05-22
PROD-0092,Open-architected homogeneous frame Solution,Software Development,Term ball cut hit month. Building thing trip live.,7650.22,25201.95,Yearly,True,2023-11-06
PROD-0093,Centralized 24hour matrix Solution,Licensing,None send one drug. Brother stage home quickly none perform. Worker direction course traditional father.,2265.38,6036.86,Hourly,False,2020-02-13
PROD-0094,Digitized executive emulation Service,Software Development,Author physical will surface. Choice name race source issue now age lay.,16906.23,12498.94,One-time,True,2022-12-16
PROD-0095,Inverse modular archive Package,Software Development,"Have human dream parent often answer guy. Yet across want fact set section.
Upon money prove suggest politics. Have law together pull kid song try.",12025.93,18739.21,One-time,True,2022-10-20
PROD-0096,Realigned mobile attitude Service,Support,Decide drop fire movie various.,5334.54,20498.79,Yearly,True,2021-07-22
PROD-0097,Compatible stable complexity Service,Licensing,National street talk example event card. Data century anything popular resource. Glass heavy government memory its medical.,47611.97,22288.79,Hourly,True,2022-11-25
PROD-0098,Seamless leadingedge hierarchy Service,Consulting,Prevent may continue life get. Movie would but doctor detail strategy fact color. Serious low people.,43975.16,14938.16,Hourly,True,2021-08-21
PROD-0099,Visionary full-range model Package,Licensing,"Conference yourself meeting line. Blood house scientist response customer all challenge.
Newspaper alone human actually explain hundred all.",13469.18,8332.87,Monthly,True,2024-06-20
PROD-0100,Innovative analyzing info-mediaries Package,Licensing,"Campaign from charge career important already. Loss history eight.
Dinner same tax fish turn. Green size range late short meet raise.",26790.75,2669.58,Yearly,False,2021-06-14
PROD-0101,Public-key exuding paradigm Solution,Consulting,Customer write nor blue month. Use sound not natural sense specific.,49966.09,27236.03,One-time,True,2023-07-27
PROD-0102,Multi-tiered actuating access Service,Software Development,Race away race turn outside. Skill important health mean person service effort. Leg upon prepare somebody will training.,43970.5,16389.09,Hourly,True,2024-10-13
PROD-0103,Versatile human-resource superstructure Solution,Licensing,"Rest gas anything fill floor. View address up hospital.
Need necessary race court.",562.95,24675.51,Hourly,True,2020-05-31
PROD-0104,Total uniform protocol Solution,Training,Page authority over campaign attack record fight. Painting share machine meet.,11285.61,7623.3,Hourly,True,2020-08-11
PROD-0105,Face-to-face reciprocal matrix Solution,Support,Away eight pressure conference three party. Military them contain mean image.,19349.25,9838.17,Monthly,False,2020-05-12
PROD-0106,Advanced 24hour migration Service,Software Development,Better case rock occur. Yeah form down market society next. Technology knowledge theory save behavior smile.,10862.28,6799.71,One-time,True,2024-12-16
PROD-0107,Synchronized disintermediate extranet Package,Software Development,Reality discuss page hospital perhaps former. Show remember network member maintain. Citizen reflect drug special answer floor break point.,36979.44,6792.2,Monthly,True,2022-01-18
PROD-0108,Multi-channeled zero tolerance contingency Package,Consulting,Off remember require age design then. Fire often under along sing fear speech.,44152.81,20777.87,Monthly,True,2024-12-06
PROD-0109,Business-focused secondary process improvement Package,Support,Capital two ability run always. Population go your civil civil hundred. Cost yard style minute usually build red moment.,39514.57,6911.72,Yearly,True,2020-02-17
PROD-0110,Ameliorated explicit moderator Service,Licensing,Raise hotel majority yourself station people say. Discuss alone certainly sort keep eat rise. Often blue pressure floor.,14759.57,15147.35,Monthly,True,2024-04-14
PROD-0111,Assimilated fault-tolerant Graphic Interface Service,Consulting,Interest matter campaign power whose. Edge fear early town. Hour run anything agree particularly better close.,26721.37,28779.28,Yearly,True,2022-05-25
PROD-0112,Versatile multi-tasking matrices Service,Training,Listen politics teacher him growth board. Strategy ok behind quickly relationship. Red probably scene agent affect.,21846.8,18337.48,Hourly,True,2020-10-06
PROD-0113,Automated local artificial intelligence Package,Consulting,Anyone treatment two. Choice total medical why skin imagine woman. Type pay buy than blue.,34296.2,26058.07,Hourly,False,2021-11-22
PROD-0114,Phased fresh-thinking contingency Package,Licensing,Foreign left hear. Discussion professor everyone brother. Scientist agreement less particularly operation.,20824.11,13335.39,One-time,True,2023-05-03
PROD-0115,Optimized disintermediate middleware Package,Support,Same clearly seven physical matter sort. Computer court change gun executive. She meet weight.,38572.57,10516.72,One-time,True,2023-04-02
PROD-0116,Managed intermediate leverage Service,Support,Really amount activity color or. His interest sense end hand perhaps. And system old religious.,34429.17,23319.93,Yearly,True,2021-04-13
PROD-0117,Self-enabling didactic throughput Package,Software Development,Bag part really southern surface situation fly. Suggest positive sign walk million price. West cause along financial enough carry opportunity.,37572.23,25779.15,Hourly,False,2020-10-11
PROD-0118,Face-to-face cohesive forecast Service,Software Development,"Huge say human ok reach. May center civil no.
Own also medical industry certainly. Soon instead we son officer himself lead.",1405.43,20396.31,Hourly,True,2024-07-01
PROD-0119,Compatible eco-centric emulation Package,Training,Manage dark event he so training. Discover clearly skill Republican big newspaper. Trouble eye account read.,26593.59,12953.96,Yearly,True,2022-04-08
PROD-0120,Grass-roots optimal core Package,Support,In hand everything across. Other show billion themselves. Field many sea name picture.,34798.25,6314.71,Yearly,True,2020-01-30
PROD-0121,Phased executive data-warehouse Solution,Consulting,Worker threat add less can expect west. It real rather method politics ten.,5399.33,13618.57,Hourly,True,2020-11-06
PROD-0122,Cross-platform client-server utilization Package,Licensing,Thing among behavior or prepare. Such base adult factor ready.,42625.67,14051.47,One-time,False,2020-11-10
PROD-0123,Team-oriented 3rdgeneration policy Package,Training,Practice economy quality. Vote every rise source how up.,23189.36,1660.85,Monthly,True,2023-01-16
PROD-0124,Networked user-facing core Package,Consulting,Step able test break. Community speak leave use there store professional.,47052.8,11030.84,Hourly,False,2020-12-25
PROD-0125,Profit-focused system-worthy hardware Solution,Software Development,Decision themselves six none town. Seem risk two catch. Since act audience.,18056.41,2104.44,Yearly,False,2023-03-07
PROD-0126,Object-based clear-thinking circuit Service,Training,Eight garden eight major point. Involve out measure high. Interview bit shake.,32992.77,17816.18,Yearly,False,2024-11-27
PROD-0127,Compatible fault-tolerant methodology Package,Support,Him dog war. Send cell key thus news. Peace ten I lose specific game fight staff.,6035.79,5052.35,Yearly,True,2021-08-22
PROD-0128,Adaptive leadingedge software Service,Training,"Little from treatment beat marriage make. Hotel third analysis some.
Side enter about less administration own chair.",34523.28,21281.76,One-time,True,2020-04-22
PROD-0129,Face-to-face incremental forecast Service,Consulting,Authority individual concern own part structure power likely. Religious position language never compare thing.,40232.46,24805.42,Hourly,False,2023-06-08
PROD-0130,Fundamental bottom-line concept Service,Support,Market writer opportunity person. Former describe far present seven that customer.,1536.44,2596.15,One-time,True,2024-10-23
PROD-0131,Public-key human-resource workforce Package,Training,"Dream group population garden modern. Affect machine board compare may kind accept.
Them old him perhaps. Better produce from rule.",13907.57,18288.71,Monthly,True,2024-04-04
PROD-0132,Distributed actuating moratorium Package,Training,Public people resource nice whose more this. Rock color eye employee want. Rule feel account how.,40529.46,18111.25,Yearly,True,2022-03-27
PROD-0133,Up-sized static emulation Service,Training,Woman television floor trouble building become tree.,20193.87,21408.92,Monthly,True,2024-02-23
PROD-0134,Multi-lateral interactive installation Package,Licensing,Me mother though quality available cultural determine. Policy model million nearly maintain.,15894.19,12493.74,Monthly,True,2023-07-23
PROD-0135,Advanced logistical orchestration Service,Licensing,But find play wall car activity size. Let of message democratic wait first simple. Far pass project month budget deal support.,40149.74,24992.92,Yearly,True,2021-06-11
PROD-0136,Focused high-level concept Package,Support,"Do suffer green student full. Republican method task approach region each.
Ground one win class election. Project product clear sea though onto.",1955.13,10825.49,Monthly,False,2022-05-15
PROD-0137,Organized multi-state flexibility Service,Consulting,Thank keep budget everybody yes. Enough threat interest old. Rich environmental board especially affect.,31019.18,15078.84,Yearly,False,2024-03-11
PROD-0138,Visionary intangible support Service,Support,"Line eye gas far. Different than point physical tree.
Above knowledge case art. Break drive build nearly feeling home.",3499.65,9885.41,One-time,True,2021-02-16
PROD-0139,Future-proofed dedicated model Solution,Training,Get growth difference can late. Movie hard huge little scene and TV. All sure oil describe much. Look she boy keep participant.,15443.29,14406.63,Monthly,True,2023-12-04
PROD-0140,Virtual mobile solution Service,Consulting,Find audience war language speak understand. Yard day single seek get sign. Sister young stuff anyone some foreign.,36927.78,1816.19,One-time,True,2023-08-07
PROD-0141,Fundamental dynamic firmware Service,Licensing,"Peace whose on training. Hospital represent reason experience western life.
Go news size line why. Eight coach run production sure single.",20912.86,12120.5,Yearly,True,2020-02-25
PROD-0142,Diverse discrete parallelism Package,Licensing,"Kind range decision wall ability every. Personal campaign kid. Win cell fill himself.
Interview hotel animal side. Scene tonight join outside.",14236.72,2186.83,Monthly,False,2022-03-29
PROD-0143,Cross-group impactful middleware Package,Training,Newspaper view old attack thing eat. Level should statement PM clear beyond glass. Remain long number culture.,34456.93,6552.35,One-time,False,2024-06-06
PROD-0144,Ameliorated solution-oriented analyzer Solution,Software Development,"Example hundred finally. Situation both first assume director doctor surface.
Yes tough model night a. List should baby agreement however nothing.",15129.16,2518.0,Yearly,False,2023-09-05
PROD-0145,Multi-channeled non-volatile throughput Solution,Software Development,Left black also as week main. Else method get six citizen. Me trial ago contain beyond soon. Himself protect me thing.,37975.52,13856.85,Hourly,True,2022-06-23
PROD-0146,Self-enabling non-volatile definition Package,Consulting,Sister physical choice note study woman lay. End real popular talk difference. Each assume almost nice woman.,45411.17,29382.37,Hourly,False,2020-12-18
PROD-0147,Ameliorated coherent workforce Service,Software Development,Would picture group if it too. Begin be Mr medical business.,23048.83,2204.69,Hourly,True,2021-01-27
PROD-0148,Switchable cohesive definition Service,Support,Cost fast them. Buy culture I shake management pattern increase entire.,30513.09,20206.77,One-time,True,2023-08-10
PROD-0149,Cross-platform attitude-oriented conglomeration Solution,Licensing,Indeed old reality guy partner hour strong. Toward if meeting he message audience. Write later material have certain remain.,33216.51,11673.91,One-time,True,2022-10-01
PROD-0150,Reverse-engineered directional pricing structure Package,Consulting,Father show born them. Top growth magazine large game build yourself. Evidence everybody company every.,13426.77,13528.04,One-time,True,2024-11-09
